"","ZCTA5CE20","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","STATE_ABBR","TOTAL","Urbanicity"
"335","42713",0.948,0.5832,0.2841,0.4633,"KY",1637,0
"336","40997",0.8333,0.476,0,0.3689,"KY",346,0
"337","42764",0.7859,0.753,0,0.3198,"KY",504,0
"338","40982",0.9968,0.1842,0,0.2387,"KY",416,0
"339","40903",0.9483,0.9778,0.2526,0.3731,"KY",542,0
"340","42762",0.6977,0.0289,0.9802,0.343,"KY",472,0
"341","40827",0.8636,0.4498,0,0.3101,"KY",788,0
"342","41317",0.4579,0.4575,0,0.3771,"KY",188,0
"343","40448",0.1656,0.9998,0,0,"KY",38,0
"344","40995",0.8345,0.3899,0,0.6711,"KY",77,0
"345","40979",0.5199,0.0497,0,0.1537,"KY",161,0
"346","42565",0.9898,0.6918,0.511,0.3189,"KY",528,0
"347","42431",0.7101,0.8784,0.5513,0.736,"KY",26721,1
"348","40060",0.7964,0.7425,0.1037,0.3794,"KY",1056,0
"349","40815",0.8683,0.3052,0.2144,0.3408,"KY",1464,0
"350","42032",0.9726,0.1514,0.346,0.2943,"KY",143,0
"351","40829",0.9715,0.5241,0,0.3691,"KY",434,1
"352","41564",0.928,0.8703,0.1548,0.1304,"KY",1156,0
"353","41512",0.9708,0.8381,0,0.5722,"KY",843,0
"354","41527",0.3816,0.9843,0.1667,0.1135,"KY",862,0
"355","42154",0.6023,0.3844,0,0.114,"KY",736,0
"356","42631",0.5011,0.035,0,0,"KY",76,0
"357","40849",0.9051,0.9756,0.1008,0.2896,"KY",383,1
"358","40830",0.8182,0.4933,0,0.0883,"KY",341,0
"359","41713",0.1674,0.4854,0,0,"KY",97,0
"360","40165",0.6118,0.4053,0.415,0.6278,"KY",34579,1
"361","40068",0.2646,0.1632,0.2189,0.3923,"KY",1826,0
"362","40057",0.6909,0.5414,0.0852,0.2357,"KY",3225,0
"363","40045",0.6985,0.6995,0.2257,0.5666,"KY",3370,0
"364","40228",0.2834,0.2193,0.7233,0.3726,"KY",16010,1
"365","40118",0.7973,0.6986,0.7889,0.5501,"KY",9285,1
"366","42053",0.3815,0.6609,0.1891,0.6345,"KY",4904,0
"367","42001",0.3214,0.8657,0.6101,0.7306,"KY",27593,1
"368","40077",0.2767,0.0354,0,0.0387,"KY",382,0
"369","42303",0.5865,0.8291,0.6547,0.8608,"KY",40029,1
"370","40475",0.7481,0.3205,0.5232,0.8405,"KY",57892,1
"371","40515",0.1781,0.2198,0.6898,0.5307,"KY",34919,1
"372","40031",0.4613,0.3615,0.5528,0.8206,"KY",24095,1
"373","40110",0.5228,0.9451,0,0,"KY",12,0
"374","40207",0.0623,0.2143,0.6715,0.5588,"KY",30544,1
"375","40206",0.271,0.1016,0.6589,0.7929,"KY",19144,1
"376","42078",0.8575,0.9745,0.1759,0.9215,"KY",1800,0
"377","40210",0.984,0.9766,0.8954,0.9663,"KY",15044,1
"378","42378",0.3624,0.5105,0.1408,0.4766,"KY",2865,0
"379","40348",0.9224,0.6697,0.1806,0.6735,"KY",679,0
"380","40056",0.0452,0.4992,0.3202,0.2188,"KY",3493,1
"381","40701",0.9184,0.9391,0.3759,0.9232,"KY",29797,1
"382","42240",0.8542,0.9602,0.6935,0.9361,"KY",43567,1
"383","40510",0.5074,0.0736,0.6644,0.2438,"KY",2314,1
"384","42351",0.5212,0.7721,0.2166,0.6735,"KY",3580,0
"385","41092",0.4438,0.3911,0.3842,0.4121,"KY",3526,0
"386","40940",0.9913,0.3788,0,0.128,"KY",707,0
"387","41606",0.9393,0.965,0,0.3087,"KY",643,0
"388","40078",0.7269,0.4875,0.5862,0.5996,"KY",2232,0
"389","42064",0.6904,0.7789,0.4348,0.8445,"KY",8363,0
"390","42261",0.8691,0.7887,0.5953,0.9323,"KY",10800,0
"391","41314",0.9728,0.9267,0.138,0.9437,"KY",4928,0
"392","40734",0.9379,0.7842,0.3825,0.6082,"KY",3376,0
"393","41230",0.9473,0.745,0.4213,0.9443,"KY",12063,0
"394","41224",0.9709,0.1929,0.5693,0.9618,"KY",6044,0
"395","42539",0.9325,0.7342,0.4235,0.9297,"KY",9894,0
"396","42754",0.8488,0.8476,0.3665,0.893,"KY",15370,0
"397","40862",0.9347,0.6819,0.1153,0.5881,"KY",565,0
"398","42726",0.8588,0.6075,0.1806,0.5559,"KY",5372,0
"399","42528",0.9903,0.7067,0.5997,0.4886,"KY",1475,0
"400","40372",0.3321,0.5625,0.2336,0.0828,"KY",2150,0
"401","42023",0.7244,0.6057,0.2104,0.5329,"KY",2418,0
"402","42716",0.6238,0.9477,0.1153,0.3771,"KY",1601,0
"403","42717",0.8728,0.6582,0.2583,0.8593,"KY",6787,0
"404","40075",0.6056,0.8413,0.1834,0.214,"KY",1242,0
"405","42087",0.8965,0.9061,0.2774,0.927,"KY",2295,0
"406","42325",0.9204,0.5422,0.1153,0.2959,"KY",2628,0
"407","40111",0.8728,0.808,0.1641,0.5588,"KY",1525,0
"408","42134",0.641,0.5679,0.6812,0.577,"KY",16908,1
